ra dec
15.040283203125002 28.10108889835881
15.029296874999996 28.090517720174525
15.051269531249998 28.090517720174525
15.018310546874998 28.079947582890703
15.040283203125002 28.079947582890703
15.062255859375 28.079947582890703
15.00732421875 28.069378485840303
15.029296874999996 28.069378485840303
15.051269531249998 28.069378485840303
15.073242187500002 28.069378485840303
14.996337890625 28.058810428356722
15.018310546874998 28.058810428356722
15.040283203125002 28.058810428356722
15.062255859375 28.058810428356722
15.00732421875 28.048243409773832
15.029296874999996 28.048243409773832
15.051269531249998 28.048243409773832
15.073242187500002 28.048243409773832
15.018310546874998 28.037677429425997
15.040283203125002 28.037677429425997
15.062255859375 28.037677429425997
15.084228515624996 28.037677429425997
15.029296874999996 28.02711248664803
15.051269531249998 28.02711248664803
15.073242187500002 28.02711248664803
15.09521484375 28.02711248664803
15.040283203125002 28.016548580775215
15.062255859375 28.016548580775215
15.084228515624996 28.016548580775215
15.106201171874998 28.016548580775215
15.051269531249998 28.00598571114329
15.073242187500002 28.00598571114329
15.09521484375 28.00598571114329
15.062255859375 27.995423877088484
15.084228515624996 27.995423877088484
15.051269531249998 27.984863077947487
15.073242187500002 27.984863077947487
